,anr_code,doi,title,publishedYear,hal_id
0,101039048,10.3390/s22145197,Sensors,2022.0,
1,101039048,10.1007/JHEP05(2022)037,Journal of High Energy Physics,2022.0,
2,101039066,https://doi.org/10.1111/nph.19651,The effects of plant hormones ondispersal and predation of seedsbyLeopoldamys edwardsi: theco-evolutionary knot betweenacorns and rodents grows tighter,2024.0,
3,101039066,https://doi.org/10.1038/s41467-023-43616-1,Evolution of masting in plants is linked to investment in low tissue mortality,2023.0,
4,101039066,https://doi.org/10.1016/j.tree.2024.05.006,"Evolutionary ecology of masting: mechanisms, models, and climate change",2024.0,
5,101039066,https://doi.org/10.1111/gcb.17307,Widespread breakdown in masting in European beech due to rising summer temperatures,2024.0,
6,101039066,https://doi.org/10.1111/nph.18957,Forecasting seed production in perennial plants: identifying challenges and charting a path forward,2023.0,
7,101039066,http://doi.org/10.1111/1365-2745.14368,Positive spatial and temporal density-dependence drive early reproductive economy-of-scale effects of masting in a European old-growth forest community,2024.0,
8,101039066,https://ecoevorxiv.org/repository/view/7215/,Tail-dependence of masting synchrony results in continent-wide seed scarcity,2024.0,
9,101039066,https://repozytorium.amu.edu.pl/items/b7a3ff16-1262-4589-b783-41176c5f4a8e,Summer solstice orchestrates the subcontinental-scale synchrony of mast seeding,2024.0,
10,101039066,https://ecoevorxiv.org/repository/view/6835/,Forest Ecology and Management,2024.0,
11,101039066,https://doi.org/10.1111/2041-210X.14197,"The CV is dead, long live the CV!",2023.0,
12,101039066,https://ecoevorxiv.org/repository/view/7676/,Masting ontogeny: the largest masting benefits accrue to the largest trees,2024.0,
13,101039090,10.48550/ARXIV.2306.17156,"Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors",2023.0,
14,101039090,10.48550/ARXIV.2308.02522,Evaluating ChatGPT and GPT-4 for Visual Programming,2023.0,
15,101039090,10.48550/ARXIV.2305.18342,Neural Task Synthesis for Visual Programming,2024.0,
16,101039090,10.48550/ARXIV.2403.12227,Analyzing-Evaluating-Creating: Assessing Computational Thinking and Problem Solving in Visual Programming Domains,2024.0,
17,101039090,10.48550/ARXIV.2405.02173,Task Synthesis for Elementary Visual Programming in XLogoOnline Environment,2024.0,
18,101039090,10.48550/ARXIV.2304.12877,Proximal Curriculum for Reinforcement Learning Agents,2023.0,
19,101039090,10.48550/ARXIV.2402.07019,Informativeness of Reward Functions in Reinforcement Learning,2024.0,
20,101039090,10.48550/ARXIV.2302.04662,Generating High-Precision Feedback for Programming Syntax Errors using Large Language Models,2023.0,
21,101039090,10.48550/ARXIV.2310.10690,Large Language Models for In-Context Student Modeling: Synthesizing Student's Behavior in Visual Programming from One-Shot Observation,2024.0,
22,101039090,10.48550/ARXIV.2405.02481,Proximal Curriculum with Task Correlations for Deep Reinforcement Learning,2024.0,
23,101039090,10.48550/ARXIV.2306.03311,Learning Embeddings for Sequential Tasks Using Population of Agents,2024.0,
24,101039090,10.48550/ARXIV.2310.03780,Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation,2024.0,
25,101039103,10.48550/arxiv.2407.04319,Singular viscoelastic perturbation to soft lubrication,2024.0,
26,101039103,10.48550/arxiv.2212.05821,Mechanical response of a thick poroelastic gel in contactless colloidal-probe rheology,2023.0,
27,101039103,10.48550/arxiv.2406.06190,Tuning the water intrinsic permeability of PEGDA hydrogel membranes by adding free PEG chains of varying molar masses,2024.0,
28,101039103,10.48550/arxiv.2312.11962,Plateau-Rayleigh instability of a viscous film on a soft fiber,2024.0,
29,101039103,10.48550/arxiv.2210.15942,Numerical simulations of confined Brownian-yet-non-Gaussian motion,2023.0,
30,101039103,10.48550/arxiv.2306.14557,Instability and rupture of sheared viscous liquid nanofilms,2024.0,
31,101039103,https://doi.org/10.48550/arXiv.2307.00013,Journal of Fluid Mechanics,2023.0,
32,101039103,10.48550/arxiv.2211.04873,Surface and bulk relaxation of vapor-deposited polystyrene glasses,2023.0,
33,101039103,10.48550/arxiv.2207.13997,Nature Communications,2022.0,
34,101039103,10.48550/arxiv.2403.19241,Capillary-lubrication force between rotating cylinders separated byafluidinterface,2024.0,
35,101039103,10.48550/arxiv.2308.01774,Coalescence of Elastic Blisters Filled with a Viscous Fluid,2024.0,
36,101039103,10.48550/arxiv.2403.18538,Uphill Drift in the Absence of Current in Single-File Diffusion,2024.0,
37,101039103,10.48550/arxiv.2207.01880,Non-Gaussian Diffusion Near Surfaces,2023.0,
38,101039103,10.48550/arxiv.2312.06210,Measurement of the depth-dependent local dynamics in thin polymer films through rejuvenation of ultrastable glasses,2024.0,
39,101039103,10.48550/arxiv.2405.13434,Observation of Brownian elastohydrodynamic forces acting on confined soft colloids,2024.0,
40,101039103,10.48550/arxiv.2306.10500,Single-file diffusion in spatially inhomogeneous systems,2023.0,
41,101039103,10.48550/arxiv.2309.11807,Sieving and Clogging in PEGPEGDA Hydrogel Membranes,2023.0,
42,101039103,10.48550/arxiv.2307.05991,Unsteady drag force on an immersed sphere oscillating near a wall,2023.0,
43,101039103,10.48550/arxiv.2212.04296,On the bridge hypothesis in the glass transition of freestanding polymer films,2023.0,
44,101039103,10.48550/arxiv.2206.07413,Nanoparticle Taylor Dispersion Near Charged Surfaces with an Open Boundary,2023.0,
45,101039103,10.48550/arxiv.2207.04538,Lift at low Reynolds number,2023.0,
46,101039110,http://urn.fi/urn:nbn:fi-fe2023032933740,Hydrothermal synthesis of NiTeO and CuTeO nanostructures for magnetic and photoconductivity applications,2023.0,
47,101039110,http://urn.fi/urn:nbn:fi-fe2023080192784,Toward Ecofriendly Piezoelectric CeramicsReduction of Energy and Environmental Footprint from Conceptualization to Deployment,2023.0,
48,101039110,http://urn.fi/urn:nbn:fi-fe2023080192777,Theoretical prediction and shape-controlled synthesis of two-dimensional semiconductive NiTeO,2023.0,
49,101039110,https://urn.fi/URN:NBN:fi-fe2022122072781,Filterless VisibleRange Color Sensing and WavelengthSelective Photodetection Based on Barium/Nickel Codoped BandgapEngineered Potassium Sodium Niobate Ferroelectric Ceramics,2023.0,
50,101039115,,Most discriminative stimuli for functional cell type clustering,2024.0,
51,101039115,https://doi.org/10.1101/2023.03.02.530774,Combined statistical-biophysical modeling links ion channel genes to physiology of cortical neuron types,2025.0,
52,101039115,10.1101/2024.03.26.586728,PLoS Computational Biology,2024.0,
53,101039115,10.7554/elife.89996,eLife,2023.0,
54,101039115,,Diffusion Tempering Improves Parameter Estimation with Probabilistic Integrators for Ordinary Differential Equations,2024.0,
55,101039115,https://doi.org/10.1101/2024.08.21.608979,Differentiable simulation enables large-scale training of detailed biophysical models of neural dynamics,2024.0,
56,101039115,10.1016/j.celrep.2024.114953,GABAergic amacrine cells balance biased chromatic information in the mouse retina,2024.0,
57,101039127,10.26434/chemrxiv-2024-848r1,The Role of sp3 Defects in Eliciting Divergent Fluorescence Response of Single-Walled Carbon Nanotubes to Dopamine and Serotonin,2024.0,
58,101039127,10.1021/acs.jctc.4c00876,Journal of Chemical Theory and Computation,2024.0,
59,101039127,10.1002/adpr.202200244,SuperResolution NearInfrared Fluorescence Microscopy of SingleWalled Carbon Nanotubes Using Deep Learning,2022.0,
60,101039127,10.1021/acssensors.4c00377,Monitoring Enzyme Activity Using Near-Infrared Fluorescent Single-Walled Carbon Nanotubes,2024.0,
61,101039127,10.48550/arxiv.2212.13487,Utilizing time-series measurements for entropy-production estimation in partially observed systems,2024.0,
62,101039127,10.1021/acssensors.3c00633,Single-Walled Carbon Nanotube Sensor Selection for the Detection of MicroRNA Biomarkers for Acute Myocardial Infarction as a Case Study,2023.0,
63,101039127,10.1002/adfm.202209688,Advanced Functional Materials,2022.0,
64,101039127,10.48550/arxiv.2205.14688,Physical Chemistry Chemical Physics,2022.0,
65,101039127,10.1088/1361-6463/acc957,Journal of Physics D - Applied Physics,2023.0,
66,101039127,10.1002/admt.202301222,Spatiotemporal Tracking of NearInfrared Fluorescent SingleWalled Carbon Nanotubes in <i>C. Elegans</i> Nematodes Confined in a Microfluidics Platform,2023.0,
67,101039145,https://weizmann.elsevierpure.com/en/publications/7e08ce3c-7468-4f71-80d2-33254db15725,European Journal of Neuroscience,2023.0,
68,101039145,https://weizmann.elsevierpure.com/en/publications/2da92510-d0d1-4fe3-b46a-14272d2db1cd,Stereotyped goal-directed manifold dynamics in the insular cortex,2024.0,
69,101039174,https://europepmc.org/article/MED/37973836,"CELLULAR, A Cell Autophagy Imaging Dataset",2023.0,
70,101039181,,Una visin retrospectiva de los ltimos 60 aos del embalse de Yesa (Pirineo Central),2023.0,
71,101039181,,Anlisis morfodinmico de cuencas montaosas mediante teledeteccin con VANTs,2024.0,
72,101039181,,Impactos del Cambio Global en la dinmica hidrolgica y sedimentaria en la cuenca alta del ro Aragn (Pirineos Centrales Espaoles),2024.0,
73,101039181,,Prediccin de caudales con RNN-LSTM en la vertiente norte de la cuenca hidrogrfica del ro Ebro (Espaa),2024.0,
74,101039181,,Six Decades of Hindsight Into Yesa Reservoir (Central Spanish Pyrenees): River Flow Dwindles as Vegetation Cover Increases and Mediterranean Atmospheric Dynamics Take Control,2023.0,
75,101039181,,Unveiling the temporal structure of the hydrological and sedimentological response of a badlands catcment in the Spanish Pyrenees,2023.0,
76,101039181,,Benchmark of computational hydraulics models for open-channel flow with lateral cavities,2024.0,
77,101039181,,Hydrological insights in the Upper Aragn Catchment located in the Central Spanish Pyrenees (1956-2020),2023.0,
78,101039196,10.48550/arxiv.2207.04034,Flux: Liquid Types for Rust,2023.0,
79,101039196,10.1145/3632912,Mechanizing Refinement Types,2024.0,
80,101039196,https://doi.org/10.4230/DARTS.8.2.12,REST : Integrating Term Rewriting with Program Verification,2022.0,
81,101039196,10.1145/3547643,Safe couplings: coupled refinement types,2022.0,
82,101039196,10.48550/arxiv.2203.12069,ANOSY: approximated knowledge synthesis with refinement types for declassification,2022.0,
83,101039196,https://dl.acm.org/doi/10.1145/3546189.3549921,Liquid Proof Macros,2022.0,
84,101039196,10.1145/3546189.3549922,Coinduction inductively: mechanizing coinductive proofs in Liquid Haskell,2022.0,
85,101039196,https://doi.org/10.1145/3546189.3549919,How to Safely Use Extensionality in Liquid Haskell,2022.0,
86,101039198,10.1007/s11249-024-01849-1,Friction in Rolling a Cylinder on or Under a Viscoelastic Substrate with Adhesion,2024.0,
87,101039198,https://doi.org/10.1016/j.mechmat.2025.105252,On the dynamic JKR adhesion problem,2025.0,
88,101039198,10.1016/j.euromechsol.2024.105348,Friction for a sliding adhesive viscoelastic cylinder: Effect of Maugis parameter,2024.0,
89,101039198,10.3389/fmech.2022.1074393,A two-scale FEM-BAM approach for fingerpad friction under electroadhesion,2023.0,
90,101039198,https://doi.org/10.1016/j.jmps.2025.106028,Rapid detachment of a rigid sphere adhered to a viscoelastic substrate: An upper bound model incorporating Maugis parameter and preload effects,2025.0,
91,101039198,10.1007/s11249-023-01720-9,Detachment of a Rigid Flat Punch from a Viscoelastic Material,2023.0,
92,101039198,10.1016/j.jmps.2024.105844,Bulk and fracture process zone contribution to the rate-dependent adhesion amplification in viscoelastic broad-band materials,2024.0,
93,101039198,10.1016/j.engfracmech.2024.109898,Viscoelastic amplification of the pull-off stress in the detachment of a rigid flat punch from an adhesive soft viscoelastic layer,2024.0,
94,101039198,10.1002/aisy.202400254,Mechanochromic Suction Cups for Local Stress Detection in Soft Robotics,2024.0,
95,101039198,10.1016/j.jmps.2024.106020,Enhancement of adhesion strength through microvibrations: Modeling and experiments,2025.0,
96,101039206,https://doi.org/10.3758/s13415-023-01149-6,Brain connectivity patterns associated with individual differences in the access to experiencenear personal semantics: a restingstate fMRI study,2024.0,
97,101039206,https://doi.org/10.1016/j.cortex.2023.03.004,Lifelong impairment in episodic re-experiencing: Neuropsychological and neuroimaging examination of a new case of Severely Deficient Autobiographical Memory,2023.0,
98,101039206,10.1111/jnp.12351,The autobiographical fluency task: Validity and reliability of a tool to assess episodic autobiographical memory and experience-near personal semantics,2023.0,
99,101039208,https://arxiv.org/abs/2306.04737,Optimal Wheeler Language Recognition,2023.0,
100,101039208,https://arxiv.org/abs/2306.05684,Space-time Trade-offs for the LCP Array of Wheeler DFAs,2023.0,
101,101039208,https://arxiv.org/abs/2404.14235,Computing the LCP Array of a Labeled Graph,2024.0,
102,101039208,https://arxiv.org/abs/2310.17980,Sketching and Streaming for Dictionary Compression,2024.0,
103,101039208,https://doi.org/10.4230/LIPIcs.CPM.2024.23,The Rational Construction of a Wheeler DFA,2024.0,
104,101039208,https://arxiv.org/abs/1910.02151,Toward a Definitive Compressibility Measure for Repetitive Sequences,2023.0,
105,101039208,http://arxiv.org/abs/2305.05129,Sorting Finite Automata via Partition Refinement,2023.0,
106,101039208,https://doi.org/10.4230/LIPIcs.SEA.2024.9,Top-k Frequent Patterns in Streams and Parameterized-Space LZ Compression,2024.0,
107,101039208,https://arxiv.org/abs/2208.04931,Co-lexicographically Ordering Automata and Regular Languages -- Part I,2023.0,
108,101039208,https://arxiv.org/abs/2301.05338,Computing matching statistics on Wheeler DFAs,2023.0,
109,101039208,https://arxiv.org/abs/2406.02763,Indexing Finite-State Automata Using Forward-Stable Partitions,2024.0,
110,101039208,https://arxiv.org/abs/2407.18753,On Computing the Smallest Suffixient Set,2024.0,
111,101039208,https://arxiv.org/abs/2202.13235,A survey of BWT variants for string collections,2024.0,
112,101039208,https://arxiv.org/abs/2307.07267,Random Wheeler Automata,2024.0,
113,101039208,https://arxiv.org/abs/2304.10962,Faster Prefix-Sorting Algorithms for Deterministic Finite Automata,2023.0,
114,101039222,https://lucris.lub.lu.se/admin/editor/dk/atira/pure/api/shared/model/researchoutput/editor/contribut,Stochastic method based on copulas for predicting severe road traffic interactions,2024.0,
115,101039222,10.1145/3641308.3685026,A Simulator Study on the Driver Failure and Traffic Conflict in Lane Change Situation on 2+1 Road,2024.0,
116,101039222,10.1016/j.mex.2024.103017,Distributions conditioned on extrapolated events via copula and extreme value theory,2024.0,
117,101039222,10.1177/03611981241263339,Comparison of E-Scooter and Bike Users Behavior in Mixed Traffic,2024.0,
118,101039226,https://doi.org/10.1037/rev0000464,"The gated cascade diffusion model: An integrated theory of decision making, motor preparation, and motor execution.",2024.0,
119,101039226,http://dx.doi.org/10.1037/xge0001063,An integrated theory of deciding and acting.,2021.0,
120,101039226,https://doi.org/10.1037/rev0000357,A model-based approach to disentangling facilitation and interference effects in conflict tasks.,2022.0,
121,101039226,10.1016/j.neuropsychologia.2024.108965,Clinically established early Parkinson's disease patients do not show impaired use of priors in conditions of perceptual uncertainty,2024.0,
122,101039252,10.3386/w32427,The Negligible Effect of Free Contraception on Fertility: Experimental Evidence from Burkina Faso,2024.0,
123,101039252,,"Left over or opting out? Squeeze, mismatch and surplus in Chinese marriage markets",2024.0,
124,101039252,https://hal.science/hal-04093817/,Spillovers in Childbearing Decisions and Fertility Transitions: Evidence from China,2024.0,
125,101039252,10.3386/w31993,Long-run Impacts of Forced Labor Migration on Fertility Behaviors: Evidence from Colonial West Africa,2023.0,
126,101039265,,Translocations can drive expression changes of multiple genes in regulons covering entire chromosome arms,2024.0,
127,101039271,10.15184/aqy.2022.123,Deep stratigraphy of submerged Neolithic sites: a micro-geoarchaeological approach to the study of coastal settlements in the Eastern Mediterranean,2022.0,
128,101039271,10.1002/gea.21967,"Microarchaeological approach to underwater stratigraphy of submerged settlements: A case study of AtlitYam PrePottery Neolithic site, off the Carmel Coast, Israel",2023.0,
129,101039272,https://doi.org/10.1371/journal.pone.0298714,Landscape-scale spatial variations of pre-Columbian anthropogenic disturbances at three ring ditch sites in French Guiana,2024.0,
130,101039294,10.1002/admi.202400334,Responsive Soft Interface Liquid Crystal Microfluidics,2024.0,
131,101039303,,ReproHum #0043-4: Evaluating Summarization Models: Investigating the Impact of Education and Language Proficiency on Reproducibility,2024.0,
132,101039303,10.5281/zenodo.11373677,Semantic Accuracy in Natural Language Generation: A Thesis Proposal,2023.0,
133,101039303,10.5281/zenodo.14236701,Leveraging Large Language Models for Building Interpretable Rule-Based Data-to-Text Systems,2024.0,
134,101039303,10.48550/arXiv.2407.20899,Faithful and Plausible Natural Language Explanations for Image Classification: A Pipeline Approach,2024.0,
135,101039303,,Two Reproductions of a Human-Assessed Comparative Evaluation of a Semantic Error Detection System,2022.0,
136,101039303,10.5281/zenodo.11372105,Low-Resource Text Style Transfer for Bangla: Data & Models,2023.0,
137,101039303,,WebLINX: Real-World Website Navigation with Multi-Turn Dialogue,2024.0,
138,101039303,10.48550/arXiv.2304.06556,Are LLMs All You Need for Task-Oriented Dialogue?,2023.0,
139,101039303,10.48550/arxiv.2209.03632,AARGH! End-to-end Retrieval-Generation for Task-Oriented Dialog,2022.0,
140,101039303,,Multilingual Text Style Transfer: Datasets  Models for Indian Languages,2024.0,
141,101039303,10.48550/arxiv.2310.16964,Critic-Driven Decoding for Mitigating Hallucinations in Data-to-text Generation,2023.0,
142,101039303,10.48550/arxiv.2312.11356,Frontiers in Artificial Intelligence and Applications,2023.0,
143,101039303,,Automatic Metrics in Natural Language Generation: A survey of Current Evaluation Practices,2024.0,
144,101039303,,With a Little Help from the Authors: Reproducing Human Evaluation of an MT Error Detector,2023.0,
145,101039303,10.48550/arXiv.2401.10186,Beyond Traditional Benchmarks: Analyzing Behaviors of Open LLMs on Data-to-Text Generation,2024.0,
146,101039303,https://hdl.handle.net/2164/20138,Barriers and enabling factors for error analysis in NLG research,2023.0,
147,101039303,,VisuaLLM: Easy Web-based Visualization for Neural Language Generation,2023.0,
148,101039303,10.5281/zenodo.11373566,Leveraging Low-resource Parallel Data for Text Style Transfer,2023.0,
149,101039303,10.48550/arXiv.2404.15758,Generating clickbait spoilers with an ensemble of large language models,2023.0,
150,101039303,10.48550/arxiv.2301.07087,MooseNet: A Trainable Metric for Synthesized Speech with a PLDA Module,2023.0,
151,101039303,10.48550/arxiv.2308.00399,Tackling Hallucinations in Neural Chart Summarization,2023.0,
152,101039303,10.48550/arxiv.2210.07373,Mind the Labels: Describing Relations in Knowledge Graphs With Pretrained Models,2023.0,
153,101039303,10.48550/arxiv.2312.14708,Balancing theStyle-Content Trade-Off inSentiment Transfer Using Polarity-Aware Denoising,2022.0,
154,101039303,10.48550/arXiv.2401.08420,Ask the experts: sourcing high-quality datasets for nutritional counselling through Human-AI collaboration,2024.0,
155,101039303,10.48550/arxiv.2302.14169,TabGenie: A Toolkit for Table-to-Text Generation,2023.0,
156,101039303,,"Leak, Cheat, Repeat: Data Contamination and Evaluation Malpractices in Closed-Source LLMs",2024.0,
157,101039303,,Learning Interpretable Latent Dialogue Actions With Less Supervision,2022.0,
158,101039303,10.48550/arXiv.2311.09390,LEEETs-Dial: Linguistic Entrainment in End-to-End Task-oriented Dialogue systems,2024.0,
159,101039303,,Three Ways of Using Large Language Models to Evaluate Chat,2023.0,
160,101039303,10.48550/arxiv.2203.16279,Neural Pipeline for Zero-Shot Data-to-Text Generation,2022.0,
161,101039303,,Are Large Language Models Actually Good at Text Style Transfer?,2024.0,
162,101039303,,Better Translation + Split and Generate for Multilingual RDF-to-Text (WebNLG 2023),2023.0,
163,101039303,https://hdl.handle.net/2164/21799,Are Experts Needed? On Human Evaluation of Counselling Reflection Generation,2023.0,
164,101039303,,factgenie: A Framework for Span-based Evaluation of Generated Texts,2024.0,
165,101039303,,Polite Chatbot: A Text Style Transfer Application,2023.0,
166,101039320,10.1136/gutjnl-2021-326575,Diet fuelling inflammatory bowel diseases: preclinical and clinical concepts,2022.0,
167,101039320,10.1038/s41575-022-00658-y,The metabolic nature of inflammatory bowel diseases,2022.0,
168,101039320,10.1038/s41591-024-03165-6,Nature Medicine,2024.0,
169,101039320,38341347,Epithelial metabolism as a rheostat for intestinal inflammation and malignancy,2024.0,
170,101039320,10.1053/j.gastro.2022.01.004,PUFA-Induced Metabolic Enteritis as a Fuel for Crohns Disease,2022.0,
171,101039339,10.1063/5.0219911,Noncollinear phase-matching of high harmonic generation in solids,2024.0,
172,101039339,10.48550/arXiv.2411.06814,Monochromatization of Electron Beams with Spatially and Temporally Modulated Optical Fields,2024.0,
173,101039339,10.1038/s42005-024-01593-x,Momentum-dependent intraband high harmonic generation in a photodoped indirect semiconductor,2024.0,
174,101039339,,High harmonic generation in monolayer MoS2 controlled by resonant and near-resonant pulses on ultrashort time scales,2023.0,
175,101039339,10.48550/arXiv.2411.05579,Electron vortex beams for chirality probing at the nanoscale,2024.0,
176,101039348,10.3929/ethz-b-000637175,Sources and Fate of Sedimentary Organic Matter in the Western Mediterranean Sea,2023.0,
177,101039348,,Cruise Report PASSAGE23,2024.0,
178,101039354,https://hdl.handle.net/1887/3677589,Journal of the American Chemical Society,2023.0,
179,101039354,https://scholarlypublications.universiteitleiden.nl/handle/1887/3753394,Synthetic Peptides: Promising Modalities for the Targeting of DiseaseRelated Nucleic Acids,2024.0,
180,101039354,10.1002/anie.202416082,Development of DuoMYC: a synthetic cell penetrant miniprotein that efficiently inhibits the oncogenic transcription factor MYC,2024.0,
181,101039361,10.1103/PhysRevA.108.023116,Optical control of collective states in one-dimensional ordered atomic chains beyond the linear regime,2023.0,
182,101039361,10.1103/PhysRevA.110.033103,Anisotropic polarizability of Dy at 532nm on the intercombination transition,2024.0,
183,101039361,10.1103/PhysRevLett.131.203401,Trapping and Imaging Single Dysprosium Atoms in Optical Tweezer Arrays,2023.0,
184,101039375,https://doi.org/10.48550/arXiv.2403.05166,Hiding Images in Quantum Correlations,2024.0,
185,101039375,https://doi.org/10.48550/arXiv.2302.03756,Quantifying high-dimensional spatial entanglement with a single-photon-sensitive time-stamping camera,2024.0,
186,101039375,https://doi.org/10.48550/arXiv.2305.16206,Large reconfigurable quantum circuits with SPADarrays and multimode fibers,2024.0,
187,101039375,https://doi.org/10.48550/arXiv.2308.11472,Adaptive optical imaging with entangled photons,2024.0,
188,101039375,https://doi.org/10.48550/arXiv.2207.02333,Manipulation and Certification of High-Dimensional Entanglement through a Scattering Medium,2023.0,
